Frame Number,Timestamp
0,1652802088.456278
1,1652802088.557101
2,1652802088.658009
3,1652802088.758899
4,1652802088.859745
5,1652802088.960596
6,1652802089.061335
7,1652802089.162301
8,1652802089.263014
9,1652802089.363866
10,1652802089.464771
11,1652802089.565708
12,1652802089.666466
13,1652802089.767544
14,1652802089.868363
15,1652802089.969216
16,1652802090.069972
17,1652802090.171009
18,1652802090.271894
19,1652802090.37271
20,1652802090.473655
21,1652802090.574494
22,1652802090.675349
23,1652802090.776226
24,1652802090.877082
25,1652802090.978031
26,1652802091.078865
27,1652802091.179515
28,1652802091.280547
29,1652802091.381232
30,1652802091.482292
31,1652802091.583156
32,1652802091.683846
33,1652802091.784845
34,1652802091.885642
35,1652802091.986625
36,1652802092.087485
37,1652802092.188347
38,1652802092.289212
39,1652802092.390052
40,1652802092.49091
41,1652802092.591812
42,1652802092.692679
43,1652802092.79353
44,1652802092.894408
45,1652802092.995286
46,1652802093.09607
47,1652802093.19697
48,1652802093.297677
49,1652802093.398753
50,1652802093.499616
51,1652802093.600473
52,1652802093.701342
53,1652802093.802219
54,1652802093.903119
55,1652802094.003938
56,1652802094.1048
57,1652802094.20564
58,1652802094.30655
59,1652802094.407202
60,1652802094.508324
61,1652802094.609097
62,1652802094.70982
63,1652802094.810872
64,1652802094.911514
65,1652802095.012544
66,1652802095.113573
67,1652802095.214174
68,1652802095.315023
69,1652802095.416065
70,1652802095.516774
71,1652802095.617619
72,1652802095.71849
73,1652802095.819547
74,1652802095.920227
75,1652802096.021235
76,1652802096.121998
77,1652802096.223019
78,1652802096.323942
79,1652802096.424734
80,1652802096.525483
81,1652802096.626472
82,1652802096.727209
83,1652802096.828194
84,1652802096.928982
85,1652802097.02994
86,1652802097.130623
87,1652802097.231674
88,1652802097.332346
89,1652802097.433391
90,1652802097.53423
91,1652802097.635138
92,1652802097.73598
93,1652802097.836859
94,1652802097.937625
95,1652802098.038602
96,1652802098.139478
97,1652802098.240173
98,1652802098.341195
99,1652802098.442045
100,1652802098.542862
101,1652802098.643803
102,1652802098.744477
103,1652802098.845544
104,1652802098.946351
105,1652802099.047065
106,1652802099.148131
107,1652802099.248833
108,1652802099.349635
109,1652802099.450729
110,1652802099.551601
111,1652802099.652293
